ID	Gene Name	Species
SMc01116	1-acyl-sn-glycerol-3-phosphate acyltransferase(SM2011_RS16370)	Sinorhizobium meliloti 2011	
SMc02158	1-acyl-sn-glycerol-3-phosphate acyltransferase(SM2011_RS16790)	Sinorhizobium meliloti 2011	
SMc00714	1-acyl-sn-glycerol-3-phosphate acyltransferase(SM2011_RS27925)	Sinorhizobium meliloti 2011	
SMc01732	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase(dapD)	Sinorhizobium meliloti 2011	
SMc03203	2-oxo acid dehydrogenase subunit E2(SM2011_RS29305)	Sinorhizobium meliloti 2011	
SMc02483	2-oxoglutarate dehydrogenase complex dihydrolipoyllysine-residue succinyltransferase(odhB)	Sinorhizobium meliloti 2011	
SMc03104	5-aminolevulinate synthase(hemA)	Sinorhizobium meliloti 2011	
SMc00571	ACP S-malonyltransferase(fabD)	Sinorhizobium meliloti 2011	
SMc01797	CatB-related O-acetyltransferase(SM2011_RS20610)	Sinorhizobium meliloti 2011	
SM_b21092	GNAT family N-acetyltransferase(SM2011_RS10015)	Sinorhizobium meliloti 2011	
SM_b21552	GNAT family N-acetyltransferase(SM2011_RS11540)	Sinorhizobium meliloti 2011	
SMc02576	GNAT family N-acetyltransferase(SM2011_RS14595)	Sinorhizobium meliloti 2011	
SMc00352	GNAT family N-acetyltransferase(SM2011_RS15710)	Sinorhizobium meliloti 2011	
SMc01127	GNAT family N-acetyltransferase(SM2011_RS16315)	Sinorhizobium meliloti 2011	
SMc01117	GNAT family N-acetyltransferase(SM2011_RS16365)	Sinorhizobium meliloti 2011	
SMc00075	GNAT family N-acetyltransferase(SM2011_RS18995)	Sinorhizobium meliloti 2011	
SMc01017	GNAT family N-acetyltransferase(SM2011_RS21630)	Sinorhizobium meliloti 2011	
SMc01229	GNAT family N-acetyltransferase(SM2011_RS22275)	Sinorhizobium meliloti 2011	
SMc04442	GNAT family N-acetyltransferase(SM2011_RS26070)	Sinorhizobium meliloti 2011	
SMc02490	GNAT family N-acetyltransferase(SM2011_RS29895)	Sinorhizobium meliloti 2011	
SMc03840	GNAT family N-acetyltransferase(SM2011_RS30820)	Sinorhizobium meliloti 2011	
SMc00230	N-acetyltransferase(SM2011_RS22795)	Sinorhizobium meliloti 2011	
SMc02707	N-acetyltransferase(SM2011_RS26435)	Sinorhizobium meliloti 2011	
SMc02982	N-acetyltransferase(SM2011_RS29005)	Sinorhizobium meliloti 2011	
SMc02093	UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase(lpxD)	Sinorhizobium meliloti 2011	
SMc02228	acetyl-CoA C-acetyltransferase(SM2011_RS17015)	Sinorhizobium meliloti 2011	
SMc03879	acetyl-CoA C-acetyltransferase(SM2011_RS31015)	Sinorhizobium meliloti 2011	
SMa1450	acetyl-CoA C-acyltransferase(SM2011_RS03990)	Sinorhizobium meliloti 2011	
SMc00262	acetyl-CoA acetyltransferase(SM2011_RS22975)	Sinorhizobium meliloti 2011	
SM_b20765	acetyltransferase(SM2011_RS13755)	Sinorhizobium meliloti 2011	
SMc00168	acyl-homoserine-lactone synthase(SM2011_RS23755)	Sinorhizobium meliloti 2011	
SM_b20810	acyltransferase(SM2011_RS09440)	Sinorhizobium meliloti 2011	
SM_b21188	acyltransferase(SM2011_RS10895)	Sinorhizobium meliloti 2011	
SM_b21427	acyltransferase(SM2011_RS12780)	Sinorhizobium meliloti 2011	
SMc01111	apolipoprotein N-acyltransferase(lnt)	Sinorhizobium meliloti 2011	
SMc01764	arginyltransferase(SM2011_RS20430)	Sinorhizobium meliloti 2011	
SMc00327	beta-ketoacyl-ACP synthase I(fabB)	Sinorhizobium meliloti 2011	
SMc00574	beta-ketoacyl-ACP synthase II(fabF)	Sinorhizobium meliloti 2011	
SMc04273	beta-ketoacyl-ACP synthase(SM2011_RS24245)	Sinorhizobium meliloti 2011	
SMc04275	beta-ketoacyl-ACP synthase(SM2011_RS24250)	Sinorhizobium meliloti 2011	
SMc00232	bifunctional UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase GlmU(glmU)	Sinorhizobium meliloti 2011	
SMc02450	bifunctional glutamate N-acetyltransferase/amino-acid acetyltransferase ArgJ(argJ)	Sinorhizobium meliloti 2011	
SMc01962	carbon-nitrogen hydrolase family protein(SM2011_RS27075)	Sinorhizobium meliloti 2011	
SMc02546	citramalate synthase(cimA)	Sinorhizobium meliloti 2011	
SMc02087	citrate synthase(gltA)	Sinorhizobium meliloti 2011	
SMc04241	gamma carbonic anhydrase family protein(SM2011_RS24105)	Sinorhizobium meliloti 2011	
SMc01785	ketoacyl-ACP synthase III(SM2011_RS20535)	Sinorhizobium meliloti 2011	
SMc01346	leucyl/phenylalanyl-tRNA--protein transferase(aat)	Sinorhizobium meliloti 2011	
SMc01268	lipoyl(octanoyl) transferase LipB(lipB)	Sinorhizobium meliloti 2011	
SMa0869	nodulation N-acyltransferase NodA(nodA)	Sinorhizobium meliloti 2011	
SMa0772	nodulation acetyltransferase NodL(nodL)	Sinorhizobium meliloti 2011	
SM_b21532	phosphate acetyltransferase(pta)	Sinorhizobium meliloti 2011	
SMc01784	phosphate acyltransferase PlsX(plsX)	Sinorhizobium meliloti 2011	
SMc00296	poly(3-hydroxyalkanoate) polymerase subunit PhaC(phaC)	Sinorhizobium meliloti 2011	
SMc02272	pyridoxal phosphate-dependent aminotransferase family protein(SM2011_RS17235)	Sinorhizobium meliloti 2011	
SMc01032	pyruvate dehydrogenase complex dihydrolipoamide acetyltransferase(SM2011_RS21705)	Sinorhizobium meliloti 2011	
SM_b20954	succinoglycan biosynthesis protein ExoH(exoH)	Sinorhizobium meliloti 2011	
SM_b21530	sulfoacetaldehyde acetyltransferase(xsc)	Sinorhizobium meliloti 2011	
