"camp_lodi","camp_lut","camp_verb","lodi_lut","lodi_verb","lut.verb"
"Sinme_1833","Sinme_3890","Sinme_2672","Sinme_3650","Sinme_3974","Sinme_3934"
"Sinme_6119","Sinme_4212","Sinme_2147","Sinme_6918","Sinme_2966","Sinme_2470"
"Sinme_2147","Sinme_5628","Sinme_4384","Sinme_3881","Sinme_0687","Sinme_3387"
"Sinme_4384","Sinme_5630","Sinme_5896","Sinme_3626","Sinme_3084","Sinme_6288"
"Sinme_5047","Sinme_2915","Sinme_4383","Sinme_5631","Sinme_6301","Sinme_6185"
"Sinme_2823","Sinme_3080","Sinme_4159","Sinme_0515","Sinme_4029","Sinme_3996"
"Sinme_1255","Sinme_0343","Sinme_5629","Sinme_4244","Sinme_2185","Sinme_2672"
"Sinme_1178","Sinme_0323","Sinme_0393","Sinme_5978","Sinme_1252","Sinme_6114"
"Sinme_5274","Sinme_4233","Sinme_2810","Sinme_6288","Sinme_2672","Sinme_3974"
"Sinme_0644","Sinme_6119","Sinme_3639","Sinme_1255","Sinme_1255","Sinme_3890"
"Sinme_2479","Sinme_4220","Sinme_1252","Sinme_5621","Sinme_1833","Sinme_2966"
"Sinme_1922","Sinme_2147","Sinme_5655","Sinme_4357","Sinme_1146","Sinme_3084"
"Sinme_5655","Sinme_1178","Sinme_2672","Sinme_3890","Sinme_5047","Sinme_5628"
"Sinme_2479","Sinme_4384","Sinme_5620","Sinme_0687","Sinme_2823","Sinme_1252"
"Sinme_5620","Sinme_2479","Sinme_1146","Sinme_5628","Sinme_5274","Sinme_6301"
"Sinme_1819","Sinme_1922","Sinme_1817","Sinme_1272","Sinme_5896","Sinme_2672"
"Sinme_1543","Sinme_1272","Sinme_1178","Sinme_4906","Sinme_4383","Sinme_1146"
"Sinme_2479","Sinme_4906","Sinme_6492","Sinme_4029","Sinme_0644","Sinme_2185"
"Sinme_3975","Sinme_2479","Sinme_5355","Sinme_1543","Sinme_0178","Sinme_0323"
"Sinme_3951","Sinme_5655","Sinme_1819","Sinme_0323","Sinme_4159","Sinme_4220"
"Sinme_0556","Sinme_5620","Sinme_4231","Sinme_1833","Sinme_5629","Sinme_1272"
"Sinme_6535","Sinme_2479","Sinme_3975","Sinme_6535","Sinme_0393","Sinme_4906"
"Sinme_3997","Sinme_0556","Sinme_2479","Sinme_4220","Sinme_2810","Sinme_0178"
"Sinme_0114","Sinme_1819","Sinme_3951","Sinme_0114","Sinme_1543","Sinme_5896"
"Sinme_0556","Sinme_3975","Sinme_3997","Sinme_5047","Sinme_3639","Sinme_4383"
"Sinme_6234","Sinme_6467","Sinme_1922","Sinme_2823","Sinme_6535","Sinme_4159"
"Sinme_0706","Sinme_3951","Sinme_2479","Sinme_2325","Sinme_0114","Sinme_5629"
"Sinme_2325","Sinme_3997","Sinme_0706","Sinme_5274","Sinme_1817","Sinme_0393"
"Sinme_3436","Sinme_0556","Sinme_0178","Sinme_0644","Sinme_6492","Sinme_2810"
"Sinme_5541","Sinme_4064","Sinme_2479","Sinme_1926","Sinme_5355","Sinme_3639"
"Sinme_6313","Sinme_0706","Sinme_3436","Sinme_1462","Sinme_4231","Sinme_1817"
"Sinme_1149","Sinme_1149","Sinme_5541","Sinme_6467","Sinme_2325","Sinme_6492"
"Sinme_5428","Sinme_1926","Sinme_6313","Sinme_1154","Sinme_6234","Sinme_5355"
"Sinme_1178","Sinme_3436","Sinme_0556","Sinme_1249","Sinme_3387","Sinme_4231"
"Sinme_5865","Sinme_5541","Sinme_5428","Sinme_0150","Sinme_1462","Sinme_6467"
"Sinme_1462","Sinme_6313","Sinme_0556","Sinme_1249","Sinme_1154","Sinme_1926"
"Sinme_0111","Sinme_6578","Sinme_5865","Sinme_4064","Sinme_1249","Sinme_4064"
"Sinme_1154","Sinme_5428","Sinme_0111","Sinme_0761","Sinme_1249","Sinme_3387"
"Sinme_1249","Sinme_1178","Sinme_1149","Sinme_6234","Sinme_0178","Sinme_6578"
"Sinme_6493","Sinme_5865","Sinme_6493","Sinme_4786","Sinme_0761","Sinme_0150"
"Sinme_1249","Sinme_0150","Sinme_6868","Sinme_0114","Sinme_4855","Sinme_0178"
"Sinme_0761","Sinme_0111","Sinme_1178","Sinme_6578","Sinme_2672","Sinme_4855"
"Sinme_6868","Sinme_6493","Sinme_3387","Sinme_0761","Sinme_1252","Sinme_2672"
"Sinme_0114","Sinme_4463","Sinme_0074","Sinme_2490","Sinme_4786","Sinme_1252"
"Sinme_1178","Sinme_6868","Sinme_0178","Sinme_1543","Sinme_0114","Sinme_4463"
"Sinme_5877","Sinme_3815","Sinme_2672","Sinme_4463","Sinme_3387","Sinme_3387"
"Sinme_4786","Sinme_1178","Sinme_4855","Sinme_1462","Sinme_0074","Sinme_3815"
"Sinme_0556","Sinme_2490","Sinme_1252","Sinme_0150","Sinme_0178","Sinme_0178"
"Sinme_5866","Sinme_0556","Sinme_1178","Sinme_5877","Sinme_0761","Sinme_0074"
"Sinme_0761","Sinme_5883","Sinme_0556","Sinme_3815","Sinme_5877","Sinme_2490"
"Sinme_1462","Sinme_0150","Sinme_3387","Sinme_0501","Sinme_5866","Sinme_4855"
"Sinme_1543","Sinme_6164","Sinme_0178","Sinme_5866","Sinme_1543","Sinme_0150"
"Sinme_2387","Sinme_2387","Sinme_5864","Sinme_3082","Sinme_1462","Sinme_5883"
"Sinme_1149","Sinme_1149","Sinme_3004","Sinme_4186","Sinme_4855","Sinme_6164"
"Sinme_0501","Sinme_3082","Sinme_3853","Sinme_6387","Sinme_0501","Sinme_3082"
"Sinme_0295","Sinme_1363","Sinme_4855","Sinme_0501","Sinme_5864","Sinme_6387"
"Sinme_3004","Sinme_6387","Sinme_5870","Sinme_5883","Sinme_5653","Sinme_1363"
"Sinme_4832","Sinme_4145","Sinme_5653","Sinme_1363","Sinme_5870","Sinme_4145"
"Sinme_3853","Sinme_4832","Sinme_3852","Sinme_6164","Sinme_0295","Sinme_5864"
"Sinme_0501","Sinme_3004","Sinme_2387","Sinme_5878","Sinme_4186","Sinme_5653"
"Sinme_3771","Sinme_5878","Sinme_1149","Sinme_0295","Sinme_0501","Sinme_5878"
"Sinme_4186","Sinme_3853","Sinme_4832","Sinme_4833","Sinme_1146","Sinme_5870"
"Sinme_0571","Sinme_6106","Sinme_1845","Sinme_4145","Sinme_3771","Sinme_1146"
"Sinme_2171","Sinme_5651","Sinme_2491","Sinme_5651","Sinme_3852","Sinme_6106"
"Sinme_6882","Sinme_2387","Sinme_1146","Sinme_1543","Sinme_2171","Sinme_3852"
"Sinme_0344","Sinme_0202","Sinme_3714","Sinme_1154","Sinme_0571","Sinme_5651"
"Sinme_2171","Sinme_5651","Sinme_5874","Sinme_4786","Sinme_1845","Sinme_1845"
"Sinme_2387","Sinme_5873","Sinme_0484","Sinme_3771","Sinme_3714","Sinme_3714"
"Sinme_1154","Sinme_0815","Sinme_6391","Sinme_1255","Sinme_4833","Sinme_2491"
"Sinme_1543","Sinme_0001","Sinme_0815","Sinme_2171","Sinme_1154","Sinme_0484"
"Sinme_4833","Sinme_6391","Sinme_2387","Sinme_0571","Sinme_2491","Sinme_5874"
"Sinme_0815","Sinme_3715","Sinme_0546","Sinme_2325","Sinme_6882","Sinme_0202"
"Sinme_1255","Sinme_3348","Sinme_0001","Sinme_6106","Sinme_1543","Sinme_5651"
"Sinme_2920","Sinme_0392","Sinme_0546","Sinme_6882","Sinme_0344","Sinme_5873"
"Sinme_0001","Sinme_3646","Sinme_5763","Sinme_0344","Sinme_0484","Sinme_0546"
"Sinme_4786","Sinme_5058","Sinme_3715","Sinme_2171","Sinme_5874","Sinme_0546"
"Sinme_3081","Sinme_3114","Sinme_5879","Sinme_5651","Sinme_2171","Sinme_5763"
"Sinme_2325","Sinme_3348","Sinme_0484","Sinme_6535","Sinme_1255","Sinme_3348"
"Sinme_3715","Sinme_3995","Sinme_3524","Sinme_0202","Sinme_4786","Sinme_5879"
"Sinme_6391","Sinme_5881","Sinme_5616","Sinme_5873","Sinme_0546","Sinme_0484"
"Sinme_4418","Sinme_5876","Sinme_3114","Sinme_2920","Sinme_2325","Sinme_0392"
"Sinme_5872","Sinme_3523","Sinme_5876","Sinme_3081","Sinme_0546","Sinme_3524"
"Sinme_6535","Sinme_4787","Sinme_5881","Sinme_4418","Sinme_2920","Sinme_5058"
"Sinme_5882","Sinme_3072","Sinme_0389","Sinme_3348","Sinme_3081","Sinme_5616"
"Sinme_4418","Sinme_5867","Sinme_3714","Sinme_4787","Sinme_5763","Sinme_4787"
"Sinme_6392","Sinme_5135","Sinme_0389","Sinme_4418","Sinme_6535","Sinme_3348"
"Sinme_3114","Sinme_5895","Sinme_3646","Sinme_0392","Sinme_4418","Sinme_3995"
"Sinme_5881","Sinme_4906","Sinme_5135","Sinme_5872","Sinme_5879","Sinme_0389"
"Sinme_6882","Sinme_5936","Sinme_5879","Sinme_5882","Sinme_0484","Sinme_3523"
"Sinme_5876","Sinme_5135","Sinme_5936","Sinme_6392","Sinme_5872","Sinme_3714"
"Sinme_3646","Sinme_5867","Sinme_5135","Sinme_3348","Sinme_3524","Sinme_0389"
"Sinme_0840","Sinme_0001","Sinme_6359","Sinme_3995","Sinme_4418","Sinme_4906"
"Sinme_0295","Sinme_2226","Sinme_0001","Sinme_6882","Sinme_5882","Sinme_3072"
"Sinme_5765","Sinme_4707","Sinme_5936","Sinme_4906","Sinme_6392","Sinme_5867"
"Sinme_5889","Sinme_5936","Sinme_4097","Sinme_3523","Sinme_5616","Sinme_5895"
"Sinme_5135","Sinme_1272","Sinme_0738","Sinme_0840","Sinme_0389","Sinme_5879"
"Sinme_0840","Sinme_3995","Sinme_6359","Sinme_0295","Sinme_6882","Sinme_1272"
"Sinme_5936","Sinme_2387","Sinme_3524","Sinme_4833","Sinme_3714","Sinme_6359"
"Sinme_3506","Sinme_4832","Sinme_0738","Sinme_3072","Sinme_0840","Sinme_5867"
"Sinme_5135","Sinme_2387","Sinme_4707","Sinme_5058","Sinme_0389","Sinme_2226"
"Sinme_6386","Sinme_2226","Sinme_1388","Sinme_5867","Sinme_0295","Sinme_4097"
"Sinme_0001","Sinme_4417","Sinme_4417","Sinme_5765","Sinme_5765","Sinme_3995"
"Sinme_3071","Sinme_3072","Sinme_2387","Sinme_5889","Sinme_5889","Sinme_0738"
"Sinme_5936","Sinme_5895","Sinme_3715","Sinme_5895","Sinme_5879","Sinme_3524"
"Sinme_0571","Sinme_3082","Sinme_4832","Sinme_0840","Sinme_0840","Sinme_6359"
"Sinme_4833","Sinme_3715","Sinme_5653","Sinme_1272","Sinme_3506","Sinme_0738"
"Sinme_4707","Sinme_3523","Sinme_2387","Sinme_2325","Sinme_4833","Sinme_1388"
"Sinme_4126","Sinme_3114","Sinme_4855","Sinme_3506","Sinme_6386","Sinme_4855"
"Sinme_2920","Sinme_0815","Sinme_3114","Sinme_6386","Sinme_6359","Sinme_2226"
"Sinme_2325","Sinme_1835","Sinme_0815","Sinme_2226","Sinme_3071","Sinme_3072"
"Sinme_0467","Sinme_5881","Sinme_3033","Sinme_5867","Sinme_4097","Sinme_5895"
"Sinme_2387","Sinme_3646","Sinme_0178","Sinme_3071","Sinme_0571","Sinme_3082"
"Sinme_4417","Sinme_0390","Sinme_1845","Sinme_0571","Sinme_2325","Sinme_5653"
"Sinme_4832","Sinme_2490","Sinme_4855","Sinme_3995","Sinme_0738","Sinme_0178"
"Sinme_2387","Sinme_5878","Sinme_5881","Sinme_2920","Sinme_3524","Sinme_3523"
"Sinme_3715","Sinme_0392","Sinme_6389","Sinme_4126","Sinme_6359","Sinme_4855"
"Sinme_3081","Sinme_1926","Sinme_0390","Sinme_0467","Sinme_0738","Sinme_3033"
"Sinme_3771","Sinme_4417","Sinme_2491","Sinme_2226","Sinme_2920","Sinme_1835"
"Sinme_0201","Sinme_5764","Sinme_4417","Sinme_3072","Sinme_4126","Sinme_1845"
"Sinme_0467","Sinme_1718","Sinme_3646","Sinme_5895","Sinme_1388","Sinme_6389"
"Sinme_3114","Sinme_1718","Sinme_5874","Sinme_3082","Sinme_0467","Sinme_1926"
"Sinme_0815","Sinme_2950","Sinme_5764","Sinme_3081","Sinme_4855","Sinme_2491"
"Sinme_5761","Sinme_6387","Sinme_1718","Sinme_3523","Sinme_3081","Sinme_2490"
"Sinme_3506","Sinme_0390","Sinme_1718","Sinme_3771","Sinme_5653","Sinme_5878"
"Sinme_0344","Sinme_2950","Sinme_5871","Sinme_0467","Sinme_3771","Sinme_0392"
"Sinme_5881","Sinme_5871","Sinme_0390","Sinme_0201","Sinme_0178","Sinme_5874"
"Sinme_1611","Sinme_0187","Sinme_0187","Sinme_1611","Sinme_0201","Sinme_2950"
"Sinme_0390","Sinme_5876","Sinme_5876","Sinme_2325","Sinme_0467","Sinme_6387"
"Sinme_2325","Sinme_0187","Sinme_5616","Sinme_5761","Sinme_4855","Sinme_2950"
"Sinme_3646","Sinme_3646","Sinme_1407","Sinme_3506","Sinme_3033","Sinme_5616"
"Sinme_0391","Sinme_1407","Sinme_0187","Sinme_0344","Sinme_5761","Sinme_4834"
"Sinme_6386","Sinme_5764","Sinme_3646","Sinme_4186","Sinme_3506","Sinme_3033"
"Sinme_4417","Sinme_4834","Sinme_5764","Sinme_1926","Sinme_1845","Sinme_1388"
"Sinme_4216","Sinme_0187","Sinme_0187","Sinme_2490","Sinme_0344","Sinme_4706"
"Sinme_5765","Sinme_5873","Sinme_3033","Sinme_5878","Sinme_1611","Sinme_1388"
"Sinme_3071","Sinme_1445","Sinme_1388","Sinme_6386","Sinme_2325","Sinme_4097"
"Sinme_5764","Sinme_0202","Sinme_4097","Sinme_1835","Sinme_2491","Sinme_5870"
"Sinme_5761","Sinme_1363","Sinme_1388","Sinme_0391","Sinme_6389","Sinme_5873"
"Sinme_4186","Sinme_2950","Sinme_5870","Sinme_0392","Sinme_0391","Sinme_4259"
"Sinme_1718","Sinme_1445","Sinme_4706","Sinme_5765","Sinme_6386","Sinme_1445"
"Sinme_1718","Sinme_5764","Sinme_4259","Sinme_4216","Sinme_4186","Sinme_0202"
"Sinme_0390","Sinme_5871","Sinme_3033","Sinme_3071","Sinme_5874","Sinme_1363"
"Sinme_5871","Sinme_2950","Sinme_5864","Sinme_5761","Sinme_4216","Sinme_3033"
"Sinme_0187","Sinme_1766","Sinme_5764","Sinme_2950","Sinme_5765","Sinme_4706"
"Sinme_4126","Sinme_1766","Sinme_4706","Sinme_2950","Sinme_3071","Sinme_5864"
"Sinme_5876","Sinme_1445","Sinme_5871","Sinme_6387","Sinme_5761","Sinme_2950"
"Sinme_4216","Sinme_4301","Sinme_6389","Sinme_4126","Sinme_4126","Sinme_1445"
"Sinme_0187","Sinme_4303","Sinme_5763","Sinme_4216","Sinme_4216","Sinme_2950"
"Sinme_3646","Sinme_4303","Sinme_5763","Sinme_4834","Sinme_5616","Sinme_1766"
"Sinme_5764","Sinme_4301","Sinme_4302","Sinme_4786","Sinme_6392","Sinme_6389"
"Sinme_1407","Sinme_1445","Sinme_4302","Sinme_6392","Sinme_3033","Sinme_5763"
"Sinme_6392","Sinme_4303","Sinme_4303","Sinme_1543","Sinme_4786","Sinme_5763"
"Sinme_0187","Sinme_4301","Sinme_4303","Sinme_5877","Sinme_1388","Sinme_1766"
"Sinme_4786","Sinme_2226","Sinme_4302","Sinme_5882","Sinme_1543","Sinme_1445"
"Sinme_0391","Sinme_1718","Sinme_4097","Sinme_0391","Sinme_4706","Sinme_4302"
"Sinme_5877","Sinme_1718","Sinme_4303","Sinme_5866","Sinme_5877","Sinme_4301"
"Sinme_5882",NA,"Sinme_1718","Sinme_4186","Sinme_0391","Sinme_4302"
"Sinme_1543",NA,"Sinme_1718","Sinme_5889","Sinme_5882","Sinme_4302"
"Sinme_5866",NA,"Sinme_0814","Sinme_5873","Sinme_1388","Sinme_4301"
"Sinme_5889",NA,NA,"Sinme_1445","Sinme_4097","Sinme_4097"
"Sinme_4186",NA,NA,"Sinme_5872","Sinme_5866","Sinme_1445"
"Sinme_5872",NA,NA,"Sinme_0202","Sinme_5870","Sinme_4301"
"Sinme_5764",NA,NA,"Sinme_1363","Sinme_5889","Sinme_2226"
"Sinme_0761",NA,NA,"Sinme_0761","Sinme_4186","Sinme_0814"
"Sinme_5871",NA,NA,"Sinme_2950","Sinme_5872",NA
"Sinme_0201",NA,NA,"Sinme_1445","Sinme_4259",NA
"Sinme_4303",NA,NA,"Sinme_2950","Sinme_3033",NA
"Sinme_4303",NA,NA,"Sinme_1766","Sinme_4706",NA
"Sinme_4833",NA,NA,"Sinme_0201","Sinme_5864",NA
"Sinme_0467",NA,NA,"Sinme_1766","Sinme_0761",NA
"Sinme_4303",NA,NA,"Sinme_1445","Sinme_6389",NA
"Sinme_1718",NA,NA,"Sinme_4301","Sinme_5763",NA
"Sinme_1718",NA,NA,"Sinme_4833","Sinme_0201",NA
NA,NA,NA,"Sinme_4301","Sinme_5763",NA
NA,NA,NA,"Sinme_0467","Sinme_4302",NA
NA,NA,NA,"Sinme_1445","Sinme_4302",NA
NA,NA,NA,"Sinme_4301","Sinme_4833",NA
NA,NA,NA,"Sinme_2226","Sinme_4302",NA
NA,NA,NA,NA,"Sinme_4097",NA
NA,NA,NA,NA,"Sinme_0467",NA
NA,NA,NA,NA,"Sinme_0814",NA
